Order,PID,Lot_Frontage,Lot_Area,Lot_Shape,Land_Slope,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Exter_Qual,Exter_Cond,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,Electrical,First_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Fence,Mo_Sold,Year_Sold,Sale_Price,MS_SubClass_One_Story_1945_and_Older,MS_SubClass_One_Story_1946_and_Newer_All_Styles,MS_SubClass_One_Story_PUD_1946_and_Newer,MS_SubClass_One_and_Half_Story_Finished_All_Ages,MS_SubClass_Other,MS_SubClass_Split_Foyer,MS_SubClass_Split_or_Multilevel,MS_SubClass_Two_Family_conversion_All_Styles_and_Ages,MS_SubClass_Two_Story_1945_and_Older,MS_SubClass_Two_Story_1946_and_Newer,MS_SubClass_Two_Story_PUD_1946_and_Newer,MS_Zoning_Other,MS_Zoning_Residential_High_Density,MS_Zoning_Residential_Low_Density,MS_Zoning_Residential_Medium_Density,Alley_No_Alley_Access,Alley_Paved,Lot_Config_CulDSac,Lot_Config_FR2,Lot_Config_Inside,Lot_Config_Other,Neighborhood_Briardale,Neighborhood_Brookside,Neighborhood_Clear_Creek,Neighborhood_College_Creek,Neighborhood_Crawford,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Iowa_DOT_and_Rail_Road,Neighborhood_Meadow_Village,Neighborhood_Mitchell,Neighborhood_North_Ames,Neighborhood_Northridge,Neighborhood_Northridge_Heights,Neighborhood_Northwest_Ames,Neighborhood_Old_Town,Neighborhood_Other,Neighborhood_Sawyer,Neighborhood_Sawyer_West,Neighborhood_Somerset,Neighborhood_South_and_West_of_Iowa_State_University,Neighborhood_Stone_Brook,Neighborhood_Timberland,Condition_1_Feedr,Condition_1_Norm,Condition_1_Other,Condition_1_PosN,Condition_1_RRAe,Condition_1_RRAn,Bldg_Type_OneFam,Bldg_Type_Twnhs,Bldg_Type_TwnhsE,Bldg_Type_TwoFmCon,House_Style_One_and_Half_Fin,House_Style_Other,House_Style_SFoyer,House_Style_SLvl,House_Style_Two_Story,Roof_Style_Hip,Roof_Style_Other,Exterior_1st_BrkFace,Exterior_1st_CemntBd,Exterior_1st_HdBoard,Exterior_1st_MetalSd,Exterior_1st_Other,Exterior_1st_Plywood,Exterior_1st_Stucco,Exterior_1st_VinylSd,Exterior_1st_Wd Sdng,Exterior_1st_WdShing,Exterior_2nd_BrkFace,Exterior_2nd_CmentBd,Exterior_2nd_HdBoard,Exterior_2nd_MetalSd,Exterior_2nd_Other,Exterior_2nd_Plywood,Exterior_2nd_Stucco,Exterior_2nd_VinylSd,Exterior_2nd_Wd Sdng,Exterior_2nd_Wd Shng,Mas_Vnr_Type_None,Mas_Vnr_Type_Other,Mas_Vnr_Type_Stone,Foundation_CBlock,Foundation_Other,Foundation_PConc,Foundation_Slab,Misc_Feature_Other,Misc_Feature_Shed,Central_Air_Y,Garage_Type_Basment,Garage_Type_BuiltIn,Garage_Type_Detchd,Garage_Type_No_Garage,Garage_Type_Other,Misc_Feature_Other,Misc_Feature_Shed,Sale_Type_ConLD,Sale_Type_New,Sale_Type_Other,Sale_Type_WD ,Sale_Condition_Family,Sale_Condition_Normal,Sale_Condition_Other,Sale_Condition_Partial,Land_Contour_HLS,Land_Contour_Low,Land_Contour_Lvl
1000,527127140,41,4923,0.0,0.0,2.0,5.0,2001,2002,1.0,2.0,0.0,2.0,1.0,0.0,3,5.0,440,1593,0.0,0.0,1593,1593,1,0,1,1,0,1,0.0,5,1,1.0,0.0,2,682,2.0,2.0,0.0,0,120,4.0,8,2008,286000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1001,527131110,45,6264,1.0,0.0,2.0,5.0,1997,1997,1.0,2.0,0.0,2.0,2.0,0.0,3,5.0,1008,1664,0.0,0.0,1682,1682,1,0,1,1,1,1,1.0,6,1,2.0,0.0,2,528,2.0,2.0,0.0,0,0,4.0,7,2008,247900,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1002,527140090,41,5395,1.0,0.0,2.0,5.0,1993,1993,1.0,2.0,1.0,2.0,3.0,0.0,3,5.0,604,1337,1.0,0.0,1337,1337,1,0,2,0,2,1,1.0,5,1,2.0,1.0,2,462,2.0,2.0,0.0,96,0,4.0,10,2008,180000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1003,527145090,39,5070,1.0,0.0,2.0,5.0,1992,1992,1.0,2.0,1.0,2.0,2.0,5.0,7,5.0,1280,1280,0.0,0.0,1280,1280,0,0,2,0,2,1,1.0,5,0,5.0,1.0,2,506,2.0,2.0,0.0,0,82,4.0,8,2008,180000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1004,527161010,100,10839,1.0,0.0,4.0,5.0,1997,1998,2.0,2.0,1.0,2.0,3.0,5.0,7,5.0,926,926,0.0,0.0,926,1604,0,0,2,1,3,1,2.0,7,1,2.0,0.0,2,470,2.0,2.0,0.0,0,36,4.0,7,2008,181000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1005,527162180,73,11184,1.0,0.0,4.0,5.0,1998,1998,2.0,2.0,1.0,2.0,3.0,5.0,7,5.0,932,932,1.0,0.0,932,1633,0,0,2,1,3,1,2.0,7,1,2.0,0.0,2,460,2.0,2.0,0.0,0,39,4.0,4,2008,183000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1006,527163100,0,8000,0.0,0.0,4.0,5.0,1995,1996,2.0,2.0,1.0,2.0,3.0,0.0,3,5.0,554,773,1.0,0.0,773,1658,1,0,2,1,3,1,2.0,8,1,2.0,0.0,2,431,2.0,2.0,0.0,224,84,4.0,6,2008,188000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1007,527164120,0,10832,1.0,0.0,3.0,5.0,1994,1996,1.0,2.0,1.0,2.0,3.0,5.0,7,5.0,712,712,0.0,0.0,1086,1895,0,0,2,1,3,1,1.0,7,1,2.0,0.0,2,409,2.0,2.0,0.0,143,46,4.0,10,2008,194500,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1008,527165010,0,14067,0.0,0.0,4.0,5.0,1991,1991,2.0,2.0,1.0,2.0,3.0,1.0,1,5.0,332,836,1.0,0.0,851,1709,1,0,2,1,3,1,1.0,7,0,5.0,0.0,2,416,2.0,2.0,0.0,0,40,0.0,9,2008,185000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1009,527183030,40,4671,1.0,0.0,2.0,5.0,1988,1989,1.0,2.0,1.0,2.0,2.0,0.0,3,5.0,461,1228,1.0,0.0,1228,1228,1,0,2,0,2,1,1.0,5,1,1.0,0.0,2,472,2.0,2.0,0.0,168,120,4.0,10,2008,189000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1010,527183060,65,5950,1.0,1.0,2.0,5.0,1989,1989,1.0,2.0,1.0,2.0,0.0,0.0,3,5.0,1018,1337,1.0,0.0,1337,1337,1,0,2,0,2,1,1.0,5,1,2.0,1.0,2,462,2.0,2.0,0.0,0,73,4.0,4,2008,188500,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1011,527208010,101,13543,1.0,0.0,2.0,5.0,2005,2005,1.0,2.0,0.0,2.0,0.0,0.0,3,5.0,1152,1168,0.0,0.0,1168,2500,0,0,3,1,5,1,0.0,9,1,1.0,0.0,3,683,2.0,2.0,0.0,192,32,4.0,7,2008,355000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1012,527212050,77,11198,1.0,0.0,1.0,5.0,2005,2007,1.0,2.0,1.0,1.0,3.0,5.0,7,5.0,1122,1122,0.0,0.0,1134,2504,0,0,2,1,4,1,0.0,11,1,1.0,0.0,3,656,2.0,2.0,0.0,144,39,4.0,6,2008,325000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1013,527214030,53,15401,1.0,0.0,1.0,5.0,2004,2004,0.0,2.0,0.0,2.0,0.0,0.0,3,5.0,547,1884,0.0,0.0,1884,1884,1,0,2,0,2,1,0.0,7,1,1.0,0.0,3,670,2.0,2.0,0.0,214,76,4.0,9,2008,387000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1014,527226020,0,31220,1.0,0.0,4.0,8.0,1952,1952,2.0,2.0,2.0,2.0,3.0,5.0,7,5.0,1632,1632,2.0,1.0,1474,1474,0,0,1,0,3,1,2.0,7,2,1.0,2.0,2,495,2.0,2.0,0.0,0,0,4.0,5,2008,115000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1015,527252080,60,8118,0.0,0.0,1.0,5.0,2007,2007,0.0,2.0,0.0,2.0,0.0,0.0,3,5.0,676,1710,0.0,0.0,1710,1710,1,0,2,0,2,1,0.0,6,1,1.0,1.0,2,557,2.0,2.0,0.0,156,48,4.0,7,2008,334000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1016,527276040,0,47280,1.0,0.0,4.0,5.0,1950,1950,2.0,2.0,2.0,2.0,3.0,5.0,7,5.0,1488,1488,1.0,0.0,1488,1488,0,0,2,1,3,1,2.0,6,1,2.0,1.0,2,738,2.0,2.0,0.0,0,0,4.0,7,2008,133000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1017,527301170,46,20544,1.0,0.0,3.0,4.0,1986,1991,2.0,1.0,1.0,2.0,3.0,5.0,7,5.0,791,791,1.0,0.0,1236,2093,0,0,2,1,3,1,2.0,7,1,2.0,0.0,2,542,2.0,2.0,0.0,364,63,1.0,11,2008,215000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
